"","okres","pierwotna","finalna","co2","grupa","przetarg","kategoria","przeszle.przyszle","nowy.stary","data_zak","data_wyd","rok_zak","rok_wyd"
"350",5,31,10,97,"E",5,1,"","stary",2016-11-30,2018-04-04,2016,2018
"351",2,31,10,96,"E",2018,4,"przesz쿮","nowy",NA,2018-05-30,NA,2018
"352",10,31,10,96,"G",2018,4,"przesz쿮","nowy",2016-09-29,2018-10-16,2016,2018
"353",15,65,21,257,"F",2,1,"","stary",2013-12-01,2015-02-05,2013,2015
"354",45,34,11,115,"A",3,1,"","stary",2013-10-22,2015-10-20,2013,2015
"355",18,34,11,140,"G",3,2,"","stary",2012-07-05,2015-10-28,2012,2015
"356",15,34,11,110,"F",3,1,"","stary",2014-12-01,2015-12-08,2014,2015
"357",4,34,11,117,"E",4,1,"","stary",2016-10-31,2016-12-01,2016,2016
"358",10,34,11,108,"E",5,1,"","stary",2016-05-30,2017-09-21,2016,2017
"359",5,68,22,216,"C",5,1,"","stary",2015-03-23,2017-09-29,2015,2017
"360",10,34,11,133,"E",5,1,"","stary",2016-02-16,2017-10-09,2016,2017
"361",5,34,11,135,"E",5,1,"","stary",2016-02-26,2017-10-20,2016,2017
"362",5,34,11,134,"E",5,1,"","stary",2015-12-29,2017-10-20,2015,2017
"363",5,34,11,117,"G",5,1,"","stary",2015-08-10,2017-11-16,2015,2017
"364",4,34,11,116,"E",5,1,"","stary",2017-08-10,2017-11-22,2017,2017
"365",10,34,11,141,"E",5,1,"","stary",2016-02-12,2017-11-20,2016,2017
"366",25,68,22,212,"A",5,3,"","stary",2011-03-11,2018-03-16,2011,2018
"367",45,34,11,105,"A",5,3,"","stary",2014-10-08,2018-03-13,2014,2018
"368",45,34,11,106,"A",5,3,"","stary",2011-12-27,2018-03-12,2011,2018
"369",5,34,11,109,"E",2018,4,"przesz쿮","nowy",2016-09-27,2018-07-13,2016,2018
"370",10,71,23,277,"E",3,1,"","stary",2014-12-31,2015-11-12,2014,2015
"371",5,71,23,277,"E",5,1,"","stary",2016-06-21,2017-10-20,2016,2017
"372",15,71,23,514,"B",5,3,"","stary",2015-09-15,2017-12-08,2015,2017
"373",10,37,12,145,"F",1,2,"","stary",2012-09-06,2014-02-11,2012,2014
"374",10,37,12,115,"B",3,1,"","stary",2013-02-01,2015-10-23,2013,2015
"375",15,37,12,120,"E",4,1,"","stary",2015-11-10,2016-07-28,2015,2016
"376",10,37,12,86,"E",4,1,"","stary",2014-06-27,2016-09-16,2014,2016
"377",5,37,12,114,"F",4,1,"","stary",2014-08-14,2016-09-29,2014,2016
"378",10,74,24,251,"G",4,1,"","stary",2015-12-01,2016-12-16,2015,2016
"379",15,37,12,114,"G",2017,4,"przysz쿮","nowy",2017-12-20,2018-07-03,2017,2018
"380",15,37,12,118,"E",5,1,"","stary",2016-07-31,2017-09-21,2016,2017
"381",5,37,12,117,"G",5,1,"","stary",2012-10-10,2017-09-27,2012,2017
"382",4,37,12,126,"E",5,1,"","stary",2016-06-20,2017-10-11,2016,2017
"383",10,37,12,355,"E",5,1,"","stary",2016-10-14,2017-10-12,2016,2017
"384",5,37,12,119,"G",5,1,"","stary",2014-12-30,2017-10-23,2014,2017
"385",30,74,24,231,"A",5,3,"","stary",2016-09-23,2017-10-24,2016,2017
"386",10,37,12,118,"F",5,1,"","stary",2016-01-08,2017-11-20,2016,2017
"387",45,37,12,114,"A",5,3,"","stary",2015-10-12,2018-03-15,2015,2018
"388",45,37,12,114,"A",5,3,"","stary",2014-08-21,2018-03-12,2014,2018
"389",45,77,25,241,"A",5,3,"","stary",2012-09-06,2018-03-16,2012,2018
"390",3,40,13,139,"F",3,1,"","stary",2014-12-31,2015-11-03,2014,2015
"391",10,40,13,139,"E",3,1,"","stary",2015-05-29,2015-12-17,2015,2015
"392",10,40,13,126,"E",4,1,"","stary",2016-09-30,2016-07-25,2016,2016
